DO(ppm),pH,Temperature(*C),Salinity(ppt),TDS,Health
3.6,7.8,30,28.4,98,0
5.8,8,29,10.8,50,0
3.5,6.8,33,20.4,256,0
3.5,8.6,17,10.7,250,0
2.5,6.2,27,12.5,219,0
3.9,7.4,39,21.1,54,0
3.8,6.8,37,18.1,53,0
3.7,7.9,32,27.4,57,0
3.6,6.8,32,10.7,280,0
3.5,7.9,30,16.9,278,0
3.5,8.1,39,22.4,65,0
3.9,7.7,27,11.7,296,0
3.5,8.1,27,18.9,221,0
3.8,7.7,30,11.1,77,0
3.6,7.3,29,34.6,91,0
4.3,9.5,30,20.1,255,0
3.2,5.3,32,22.7,269,0
3.9,8.6,22,23.1,78,0
3.2,6.1,28,24.4,281,0
3.7,8.2,15,18.7,202,0
3.6,7.3,32,24.2,91,0
4.3,11.8,32,11.5,284,0
3.5,8.7,34,12,248,0
4,6.9,28,13.5,89,0
4,7.5,31,16.2,205,0
5.8,7,30,23.1,66,0
3.7,7.9,15,22.8,288,0
3.9,8.4,29,18.5,100,0
2.9,6.1,26,24.8,212,0
3.7,7.6,40,22,254,0
4,7.4,32,17.3,233,0
3.6,7.5,31,33.8,86,0
4,8.1,29,16.3,292,0
3.5,8,26,26.6,80,0
5.6,10.5,31,21.1,300,0
3.8,7.1,15,10.2,210,0
5.2,10.4,26,11.3,299,0
3.6,7.8,32,29.9,89,0
4.9,13.2,31,15.8,297,0
4,7.8,32,24.3,79,0
2.7,5.1,27,18.4,91,0
3.7,8.6,31,11.9,292,0
3.7,8,29,29,52,0
3.6,7.7,27,22.6,289,0
2.9,5.9,29,22.8,269,0
3.7,8.1,27,19.9,219,0
3.1,5.4,31,14.3,235,0
3.4,5.3,29,24.6,212,0
2.7,6.7,26,23.8,72,0
3.8,8.5,27,23.9,66,0
3.5,8.3,16,20.9,287,0
4,6.8,29,13.8,248,0
3.9,7.7,28,19.5,88,0
3.6,8.1,39,11,98,0
3.7,8.5,17,21.5,53,0
3.5,8.2,35,15.6,55,0
3.8,7.5,24,15.2,79,0
3.5,7.3,26,12.8,201,0
3.2,5.9,30,17.8,214,0
3.9,6.8,41,24.4,235,0
4,7.5,18,13.1,53,0
3.6,7.6,29,23,62,0
3.8,8.5,28,11.1,210,0
3.7,7.4,30,15.3,70,0
3.7,7,30,22.2,89,0
3.7,7.9,23,15.6,96,0
3.5,8.3,29,20.6,229,0
3.9,6.8,30,20.1,298,0
3.8,7.9,21,16.4,222,0
3.8,8.3,30,15.8,98,0
3.7,7.4,32,23.9,277,0
3.5,8.1,34,14.5,72,0
3.8,8.7,26,10.5,62,0
3.9,7.5,29,20.2,248,0
4,8.5,41,14.7,262,0
3.6,8.4,27,13.8,298,0
3.9,8,43,17.7,220,0
4.7,13.6,29,20.5,91,0
3.8,6.8,24,16,229,0
3.6,7.1,31,11.1,56,0
3.8,7,37,10.9,258,0
2.8,5,27,16.3,66,0
2.7,6.1,32,20.8,70,0
3.6,7.2,32,17.9,216,0
3.6,7,28,17.5,214,0
3.6,7.5,17,15.3,266,0
3.7,8.2,31,28.9,254,0
3.9,7.1,16,17.7,210,0
3.5,7.2,30,29.1,272,0
2.9,5.1,29,12.8,227,0
3.5,8.5,27,12.2,230,0
4,7.2,16,15.4,53,0
3.5,8.3,42,22.1,257,0
3.2,5.5,29,11.5,227,0
4,8,29,17.8,229,0
3.7,7.5,21,22.1,269,0
3.9,7.6,32,31.1,255,0
3.6,7.3,28,17.1,207,0
3.2,6.4,30,22.3,280,0
3.7,8.2,31,21.8,68,0
5.9,12.6,29,11,269,0
3.4,6,30,12.9,222,0
3.6,7,28,18.7,276,0
2.6,5,31,18,97,0
2.6,6.4,31,15.2,97,0
3.5,7.6,29,21,254,0
4.4,7.2,29,20.5,279,0
5.8,13.4,29,10.6,275,0
3.2,5.7,27,20.4,55,0
3.5,8.5,26,30.4,67,0
3.1,6.2,29,14.9,263,0
3.1,5.9,31,19.6,244,0
4.4,12.3,31,17.9,67,0
3.2,5.2,30,10.9,73,0
3.5,8.1,26,23,62,0
4.9,11.9,27,24.8,280,0
3.5,8.3,37,20.2,260,0
2.5,6.5,29,18.1,63,0
3.4,6.1,30,24.7,66,0
3.8,6.8,31,18.2,238,0
3.9,7.2,27,18.8,288,0
3.7,8.6,27,23.6,94,0
3.7,8.2,31,23.7,212,0
3.5,8.4,43,12.5,60,0
4,8.1,32,21.4,241,0
3.1,5.3,32,15.7,72,0
5.3,8.9,29,19.3,277,0
3,6.1,28,13.2,211,0
2.5,6.4,32,16.8,291,0
4,7.1,29,30.8,202,0
3.5,7.1,20,23.6,65,0
3.6,6.9,31,17.5,51,0
2.6,5.8,31,23.9,74,0
4,8.6,31,19.8,237,0
3.3,5.1,27,20.3,74,0
3.1,6.1,27,23.3,54,0
2.9,6.6,30,23.6,206,0
3.8,8,26,27.5,286,0
4,6.8,26,33.6,87,0
4,8.2,33,16.4,231,0
3.6,8.7,29,33.2,225,0
3.6,8.7,30,14.9,63,0
4,8.6,27,15.3,205,0
57,10.5,30,20.6,240,0
4.7,10.5,30,10.4,297,0
4,7.6,23,10.9,56,0
3.4,5.4,26,18.9,256,0
5.7,9.1,28,22.6,270,0
3.8,7.4,32,16,71,0
3.1,5.4,32,12.5,284,0
4,7.6,30,12.7,300,0
3.6,8.1,29,31.6,78,0
3.5,6.9,26,31.7,58,0
3.7,7.6,32,21.9,95,0
3.8,8.4,30,33.3,81,0
5.6,9.2,30,14.5,246,0
3.4,5,29,17.1,62,0
3.5,8,45,19.1,84,0
3.6,7.8,44,15.3,200,0
3.4,5,28,12,94,0
3.9,8.4,29,18.9,285,0
3.7,8.7,28,20,291,0
3.6,8,43,13.4,90,0
3.5,8.6,27,15.2,73,0
4.2,7.4,32,12.4,91,0
4,7.2,29,33.6,263,0
3.5,8.7,31,15.3,75,0
3.8,8.3,41,21.8,59,0
3.8,7.3,28,16.2,94,0
3.8,7.5,43,24.9,218,0
3.2,5.7,28,15.9,89,0
3.8,7.1,32,32.5,80,0
3.8,6.8,31,22.6,282,0
2.7,5.6,31,12.5,280,0
2.6,6.3,32,24.1,88,0
4,8.6,32,18.5,55,0
3.3,5,30,18.6,245,0
2.6,6.1,30,18.4,74,0
3.5,7,28,21.9,82,0
4,7,40,25,215,0
3.5,7.8,40,16,241,0
3.9,7.4,24,23.5,258,0
4.4,8.2,27,21.4,55,0
2.7,6.6,27,18.9,258,0
3.9,8,27,15.4,213,0
4,7.1,27,32,206,0
3.9,8.6,27,32.5,287,0
4.8,8.3,31,24.3,258,0
3.9,7.9,36,13.3,71,0
5.3,10.7,31,16.7,66,0
5,8.6,29,24.6,287,0
4.3,11.3,27,19.4,53,0
3.6,6.8,24,16.1,256,0
5.7,13.3,28,16.6,229,0
3.7,8,28,19.3,63,0
3.8,8.7,28,17.6,226,0
3.9,8.6,28,20.6,87,0
3.8,7.1,28,15.3,98,0
3.5,8.3,31,31.8,228,0
3.7,7.6,31,16.1,297,0
3.5,8,27,34.4,246,0
3,5.8,27,15.5,253,0
3.9,7.4,32,18.3,216,0
2.7,6.7,27,13.1,270,0
3.7,7.5,20,10.1,202,0
5.2,13.2,30,15.8,60,0
3.3,5,29,23.7,61,0
3.1,5.7,32,23.2,270,0
4.4,13.4,26,18,68,0
2.7,5.7,31,13.4,91,0
45,8.9,27,11,79,0
3.9,6.8,19,18,261,0
3.6,8.7,28,30.4,262,0
3.5,8.5,15,23.8,203,0
5.7,13.8,32,11.3,295,0
3.8,7.2,28,20.1,50,0
3.6,8.5,32,11.1,81,0
3.5,7,34,23.2,200,0
3.8,8,28,20.8,274,0
3.7,7.7,30,17.4,77,0
2.9,6.3,31,22.3,278,0
3.2,5.6,32,14.3,240,0
3.8,8,28,13.7,70,0
3.5,7.4,16,17.9,96,0
4.5,13.7,27,22.4,58,0
3.3,6.4,32,19.2,74,0
3.8,7.4,19,22.3,244,0
4.3,10.1,31,14.7,66,0
5.1,9.2,28,24.8,51,0
2.6,5,29,23.1,227,0
43,13.8,32,23.7,287,0
3.4,5,27,17.4,287,0
3.7,7.3,32,11.7,77,0
3.7,7,38,24.4,71,0
5.3,8.7,31,15.6,94,0
3.7,7.9,42,12.5,204,0
2.9,5.3,27,17.3,299,0
3.8,7,28,34.4,54,0
4.5,13.4,31,23.9,50,0
2.5,5.8,26,10.1,81,0
3.8,8.6,31,10.4,78,0
3.9,8.2,25,12.2,278,0
3.7,8.2,30,27.7,61,0
4,6.9,30,13.9,299,0
3.9,7.7,27,16.7,218,0
5,12.3,26,18.7,69,0
3.9,7.3,28,20.2,226,0
3.6,8.3,32,29.1,231,0
3.6,6.9,28,23.7,72,0
3.2,5.3,27,21.5,75,0
4.2,11.3,26,18.3,274,0
3.6,7.3,19,20.7,93,0
5.4,7.6,30,18.1,68,0
3.5,7.7,25,17,292,0
3.9,6.9,27,27.2,260,0
2.5,6.1,32,23.6,57,0
3.5,7.4,26,21.5,251,0
3.7,7.3,29,11.8,88,0
3.9,8.1,30,10.9,264,0
4,7.9,27,26.4,214,0
4.4,12,28,23.7,287,0
3.9,8.4,31,34.3,94,0
4,7.6,27,17.2,269,0
3.5,7.9,27,15.2,238,0
3.8,7.7,29,21.3,225,0
3.3,5.2,32,16.6,227,0
3.4,5.4,31,17.8,236,0
3.7,7.9,29,13.7,282,0
5.3,9.3,32,16.8,72,0
3.7,7.3,28,19.6,267,0
4.2,9.9,32,12.4,251,0
3.1,5.4,30,20.1,291,0
3.8,7.2,30,16.8,52,0
3.2,6.3,26,24.2,82,0
3.5,7,32,33.5,280,0
3.7,7.6,30,19.9,297,0
3.8,7,41,12,204,0
3.9,8.3,32,29,88,0
3.5,8.1,27,23,213,0
3,5.8,31,18.9,207,0
3.9,7.2,32,17.7,225,0
3.8,7.4,28,15,286,0
4,8.4,27,17.3,88,0
4,8.2,17,13.8,289,0
3.8,7.8,29,14.8,64,0
4,8,28,21.1,54,0
2.8,6.5,26,18,60,0
3.8,7.2,30,22.2,60,0
4,8.1,31,22.5,97,0
3.8,7,36,15.4,273,0
3.9,8.1,30,24.4,249,0
5.2,12.6,28,24.1,58,0
3.5,7.5,28,12.1,84,0
4,8,41,23.6,256,0
3.6,6.9,19,17,240,0
2.5,5.9,26,12.7,66,0
3.6,7.2,31,18.3,296,0
3.7,7.7,18,15.8,254,0
3.5,7.9,21,11.7,70,0
5.9,12.8,30,10.3,213,0
5.9,7.2,28,16.5,76,0
2.5,6,31,22.9,51,0
3.6,8,28,13.7,272,0
3.5,6.8,33,21.6,248,0
2.8,5.3,32,15.5,273,0
5.1,13.7,27,12.3,260,0
3.6,8.7,31,18.4,277,0
3.6,7.3,32,10.4,227,0
3.6,7.1,37,23.2,279,0
4.9,8.4,28,23.3,75,0
3.5,7.1,17,22.8,270,0
2.7,5.6,26,13.7,235,0
3.7,8.3,19,23.6,229,0
3.5,7.2,30,13.1,204,0
3.5,6.9,18,14.9,93,0
3.5,6.9,23,14.9,55,0
4.4,8.1,28,12.7,73,0
3.6,7.1,32,34.9,86,0
5.5,9.6,32,15.3,72,0
2.5,6.2,27,14.1,256,0
3.7,6.9,30,14.3,206,0
5.4,13,30,20.1,252,0
4,7.5,26,18.6,88,0
51,11.3,32,16.3,299,0
3.5,6.8,27,18.3,286,0
3.6,8.2,28,16,100,0
3.8,7.5,41,24.9,257,0
3.7,7.9,31,19.8,208,0
3.5,8.1,20,12.2,99,0
3.5,6.8,24,14.1,209,0
3.8,7,41,24.5,277,0
3.1,6.3,32,22.4,236,0
3.9,8,29,23,80,0
4,8,45,14,245,0
3.7,8.3,27,17.4,206,0
3.6,7.9,28,17.4,241,0
3.7,6.8,35,18.1,58,0
3.7,7.1,32,22.8,208,0
3.5,8.1,27,10.3,81,0
4,7.5,24,22.5,98,0
2.5,6.6,26,10.8,237,0
3,5.2,30,18.6,71,0
3.8,7,25,24.9,98,0
3.8,7.1,32,20.8,98,0
2.6,5.9,26,19.7,58,0
3.8,6.9,30,22.1,56,0
3.8,6.8,28,20.7,201,0
3.8,6.8,31,19.9,234,0
3.8,7.5,29,34,237,0
5.9,13.2,29,12.9,238,0
3.9,7.5,30,23.4,287,0
3.9,8.6,29,17.7,98,0
3.3,5.2,26,14,80,0
4.9,7,31,11.3,57,0
3.6,7.7,31,21.9,52,0
3.7,7.6,28,20.1,264,0
47,7.3,27,10.1,83,0
3.3,5.9,31,20.6,100,0
3.8,7.7,29,30.4,78,0
3.6,7.2,39,19.6,290,0
4,7.8,30,15.8,237,0
4,7.6,29,22.2,247,0
3.7,8.3,27,23.8,212,0
3.8,8.4,22,22.4,70,0
3.8,8.2,20,22.7,51,0
3.7,7.4,32,24.6,83,0
3.7,8.4,26,14.4,58,0
3.8,7.1,29,20.8,61,0
4,7.3,19,14.6,236,0
3.9,7.8,24,18.1,100,0
3.6,7.3,16,17.4,262,0
3.7,7.4,39,15.9,81,0
3.8,8.4,26,24.8,98,0
3.1,5.8,28,10.7,212,0
4.6,8.7,28,13.6,76,0
3.9,7.1,34,23.4,264,0
3.9,8.6,41,13.5,262,0
3.7,8.5,31,33,73,0
5.5,7.5,31,19.6,100,0
3.9,7.5,31,32.3,56,0
4,8.4,32,23.8,96,0
4,7.9,29,20.5,88,0
3.9,8.1,32,15.1,210,0
4,7.3,29,16.6,275,0
6,8.6,28,13.1,54,0
3.3,6.3,30,15.1,87,0
3.9,7.9,15,23.8,273,0
5,12.4,30,15.6,97,0
3.6,8.1,29,28.8,91,0
4.7,10.4,26,18.4,278,0
3.6,6.9,27,15.9,220,0
3.7,8.2,42,14.7,58,0
3.9,7.3,16,22.5,90,0
4,7.7,31,17.8,215,0
3.6,7,35,18.6,87,0
3.5,7.1,29,29.2,98,0
3.9,7.8,41,13.7,291,0
2.9,6.3,32,23,210,0
3.6,7.1,27,33.8,80,0
3.8,7.4,20,18.6,58,0
4,8.5,29,27.5,260,0
3.8,8.3,26,13.6,100,0
3.8,8.7,35,17.9,258,0
