DO(ppm),pH,Temperature(*C),Salinity(ppt),TDS,Health
3.9,8.6,27,10.1,238,0
2.5,5.7,28,23.6,75,0
5.4,9.6,32,11.4,81,0
5.9,8.5,26,14.7,81,0
4,6.8,32,19.4,88,0
5.3,13.7,26,20,58,0
3.9,6.9,42,18,276,0
3.9,7.2,26,20.9,63,0
5.9,11.7,29,14.1,251,0
3.8,8.2,21,24.6,59,0
5.5,10.2,30,19.7,100,0
3.5,8,31,33.7,263,0
3.2,6.4,32,10,285,0
5.9,10.5,28,19,227,0
5.2,11.7,28,17.5,67,0
2.8,5.5,32,15.6,203,0
3.7,8.2,34,10.9,66,0
3.8,7.7,25,13.6,67,0
4.5,11,31,15.7,246,0
3.5,7.6,33,14.5,204,0
5.3,10.1,27,14.5,93,0
3.7,7.9,15,16.1,283,0
3.3,6,32,21.6,277,0
3.5,8,31,30.5,99,0
3.7,8,29,10.4,65,0
3.7,8,31,31.7,83,0
4,7.4,21,19.5,207,0
4.8,10.5,32,17.6,222,0
3.9,7.8,18,17.3,88,0
2.9,6,27,16.6,245,0
2.5,5.1,30,16.7,295,0
5.4,12.2,32,14,54,0
5.6,13.7,27,13.2,248,0
5.6,12.9,29,17.2,237,0
5.7,7.7,26,15.1,297,0
4.9,7.7,31,21,92,0
4.9,13.7,28,10.7,212,0
3.5,7.4,31,25,295,0
3.9,7.1,25,17,71,0
4,7.7,31,23.2,59,0
3.9,7.3,28,19.7,267,0
3.7,8.3,32,13.4,281,0
3.9,7.8,17,23.9,65,0
4,8.2,26,24.5,251,0
3.8,7.7,41,23.1,214,0
3.8,7.5,25,20.5,200,0
3.9,7.3,21,15.1,78,0
4.7,12.8,26,22.5,240,0
5.5,7.6,28,22.1,63,0
3.7,7.3,26,13.8,249,0
3.5,7.7,30,16.8,96,0
3.5,8.5,37,21.7,69,0
5.6,8.5,31,16.3,234,0
5.9,7.9,32,20,94,0
3.8,8.2,31,21.7,92,0
3.2,5,26,17.1,95,0
3.5,7.9,32,30.5,59,0
3.9,8.5,27,11.8,250,0
3.8,7.5,29,34.4,64,0
2.5,6.2,27,12.7,97,0
3.7,7.7,17,24.3,93,0
3.7,7.3,18,17.3,250,0
4,8.4,40,24.1,255,0
3,6.1,32,15.7,292,0
4.2,10.2,32,22.7,72,0
4.4,11.4,29,11.5,73,0
4,8.4,28,13.8,58,0
4,8,20,13,81,0
3.5,7.2,26,30.8,70,0
3.9,7,28,13.4,79,0
3.9,7.3,35,13.4,81,0
54,13.1,32,15.3,221,0
3.5,7.6,45,14.9,285,0
3.5,7.6,22,18.1,282,0
3.8,8.1,29,11.8,79,0
5.4,12.6,30,12.6,291,0
3.7,6.9,32,10.7,95,0
3.9,7.9,32,26.4,208,0
3.8,7.3,31,22.8,275,0
4,8.3,26,14.5,85,0
5.6,12.4,30,15.7,66,0
4.5,12,28,20.5,271,0
4,7.3,29,11.1,73,0
3.7,8.4,28,34.5,300,0
3.9,8.6,27,31.1,261,0
3.6,6.9,17,14,83,0
5,7.2,27,17,88,0
4,7.6,31,11.8,72,0
3.6,6.8,30,32.5,239,0
2.5,5,26,24.7,55,0
4.7,10.5,31,14,259,0
3.8,8.2,32,16.2,98,0
3.5,7.9,42,20.5,100,0
4,7.3,27,21.3,257,0
5.2,11.8,28,22.2,64,0
3.7,6.8,15,16.5,51,0
3.9,7.6,29,15.8,62,0
4,7.2,31,19.7,78,0
2.8,5.7,29,22.6,68,0
4,7.6,34,15.2,82,0
4.3,11.2,28,22.1,220,0
4.3,10.9,31,11.5,248,0
4,7.7,26,26.6,259,0
4.8,8.4,26,21.9,219,0
4.3,8.1,32,16.9,298,0
3.8,7.3,20,18.4,221,0
3.5,7.5,31,33.9,266,0
3.3,6.6,27,11.5,95,0
3.6,8.7,19,13.1,212,0
5.3,12.4,26,10.8,87,0
3.6,8.4,15,14,283,0
3.6,6.9,29,19.2,278,0
3.9,8.2,30,18.9,237,0
4,8,43,16.7,251,0
3.7,7.3,30,14.8,81,0
3.7,7.3,28,32.7,269,0
4.3,12.5,29,21.8,218,0
3.5,8.5,16,23.7,81,0
3.6,8.2,28,26.9,63,0
4,8.4,36,11.1,297,0
3.7,8.2,29,10.4,99,0
3.9,8,27,32.7,300,0
3.9,7.8,24,16.5,77,0
3.9,7.7,26,24.7,240,0
5.2,10,32,18,79,0
3.5,7.6,24,10.7,98,0
5.6,10.9,30,23.7,210,0
3.6,6.9,36,20.5,296,0
3.5,7.2,34,21.4,259,0
2.6,5.6,30,11.1,296,0
4,8.7,25,17.7,264,0
3.9,7.7,30,17.6,207,0
3.8,8,28,10.9,240,0
4.2,12.5,26,21.2,265,0
2.6,5.2,29,21.2,62,0
3.5,7.9,30,15.2,279,0
3.5,7.4,22,22.2,213,0
5.8,7.7,31,23.1,208,0
3.6,8.1,19,10.4,300,0
3.7,7.7,22,24.6,286,0
3.9,7.3,26,10.5,208,0
3.9,8.4,28,24.2,289,0
3.5,8.2,30,19.6,256,0
4.2,8.8,31,21.3,263,0
3.6,7.7,26,25,288,0
3.6,8.5,31,20.2,50,0
3.6,8.1,39,17.5,64,0
3.7,6.8,31,16.9,68,0
2.7,6.6,31,10.8,281,0
4,7.9,32,31.9,296,0
3.7,7.7,30,20.2,218,0
3.9,6.9,29,10.7,62,0
3.5,7.3,33,18.4,299,0
3.9,8.1,33,12.5,94,0
5.5,11.1,27,18.9,87,0
2.8,6.2,26,15.3,232,0
3.7,8,27,18.2,60,0
3.8,7.9,33,11.1,87,0
3.6,6.9,29,15.9,232,0
2.5,6.2,29,20.5,99,0
3.8,7.5,28,17.5,84,0
3.7,8.5,29,34.4,84,0
4,6.9,20,15.3,94,0
3.8,7.2,26,23.6,98,0
3.6,7.5,38,17.6,202,0
3.5,7,45,20.4,204,0
3.6,8.5,32,18.3,50,0
2.8,5.2,32,22.8,273,0
3.9,7.7,29,18.8,238,0
3.4,6,27,18.2,280,0
4,7.4,29,31.1,253,0
3.4,5.9,26,22.4,92,0
3.5,6.8,36,14.9,209,0
3.7,7.5,29,23.8,71,0
3.7,8.7,15,16.5,243,0
3.6,8.6,32,27,83,0
3.8,8.4,31,14.2,85,0
3.8,7.7,35,17.2,221,0
5.5,9.3,26,18.9,250,0
3.8,8.6,29,23,244,0
3.8,8.4,24,25,219,0
3.1,6.2,31,11,96,0
3.9,7.4,21,12,61,0
4,7.4,31,11.9,282,0
3.9,8.1,30,12,69,0
4,7.8,32,22.7,287,0
3.5,7.4,27,14,263,0
3.5,7.8,29,10.4,50,0
3.8,8.4,34,15,236,0
3,5.9,29,19.2,221,0
4,8.6,21,17.4,228,0
4,7.9,20,18.3,242,0
3.5,7.8,27,15.2,98,0
3.6,8.1,30,11,279,0
4,7.9,30,19.7,75,0
3.5,6.8,23,10.2,67,0
3,6.4,26,12,99,0
3.5,6.8,28,12.2,90,0
3.5,7.9,15,19.9,78,0
5.4,14,26,14,212,0
4,8.1,32,17.9,73,0
2.5,5.7,28,24.1,237,0
3.8,8.7,27,19.3,72,0
3.7,7,45,25,88,0
3.7,7.4,31,29.3,64,0
3.6,7,16,17,252,0
3.6,7,31,16,237,0
3.9,6.9,26,24.3,294,0
3.5,8.5,32,34.2,95,0
3.7,8,40,20.9,66,0
3.9,8,29,23.2,63,0
2.7,6.3,26,21.9,100,0
2.6,5.7,27,21.5,93,0
4,8,30,19.5,208,0
3.7,8.6,22,21.4,274,0
3.7,7.5,23,14.4,218,0
3.9,8.7,20,17.4,86,0
5.5,9,29,12.7,95,0
3.3,5.5,31,18.6,67,0
3.8,8.5,27,11,68,0
3.7,7.8,30,30.6,62,0
3.9,7.4,36,25,201,0
3.9,8,29,17.9,220,0
3.9,7.2,27,18.8,98,0
3.5,7.6,31,34.8,300,0
3.5,7,26,19.9,268,0
2.5,6,29,19.8,63,0
3.3,6.3,30,13,85,0
3.9,7,31,22.2,277,0
3.1,5.6,28,18,253,0
3.6,7.6,28,19.9,264,0
4.3,9.8,28,14.6,86,0
4,7.1,31,13.6,265,0
3.7,8.2,31,21.7,266,0
3.9,8.2,43,23.3,97,0
3.6,6.8,18,21.3,274,0
3.7,8.7,32,30.7,70,0
2.6,5.6,29,24.3,289,0
3.5,7.4,32,20.9,257,0
4.7,7.7,27,11.6,77,0
5.7,10.8,27,10,72,0
5.3,8.1,32,12.9,299,0
3.6,7.7,30,23.2,230,0
3.6,8,34,22.9,57,0
3.7,8.4,30,13.4,283,0
3.9,8.5,20,15.9,84,0
3.5,8.1,27,23.6,255,0
3.9,8.6,16,13.4,213,0
6,7.3,32,21.2,96,0
3.8,7.3,22,17.9,289,0
3.7,7.8,29,19.9,237,0
4.8,10.4,30,24.5,202,0
3.7,7.3,27,16.3,260,0
3.7,8.2,26,22.4,248,0
3.6,7.2,17,11.9,296,0
3.5,7.7,27,12.5,282,0
4.2,11.9,31,24.9,216,0
3.6,7.8,27,16.5,231,0
3.7,8,31,32,203,0
4,8.7,30,31.6,55,0
3.8,8.1,28,30.8,241,0
4,8.5,28,13.7,79,0
3.6,7.6,29,15.8,92,0
3.8,7.5,26,29.4,60,0
5.6,9,31,21.5,76,0
3.9,8,44,16.4,271,0
3.7,8.5,22,12.4,204,0
3,6.7,27,14.4,234,0
4,7.1,40,11.5,79,0
3.9,7.1,38,16.5,53,0
3.6,6.8,28,29.4,63,0
3.7,7.9,29,10.5,87,0
3.6,8.7,29,17.7,206,0
3.9,7.4,43,24.2,255,0
4,7.9,28,16.9,281,0
3.7,7.5,27,17.7,64,0
3.9,7,27,16.2,75,0
3.7,8.4,32,33.7,278,0
4.2,10.7,27,23.8,269,0
2.6,5.2,29,15.2,53,0
3.6,8.3,18,10.9,212,0
2.9,6.1,27,19.9,206,0
3.9,8,25,16.7,244,0
3.8,8.7,30,19.9,91,0
4.5,13.2,30,12,70,0
4,8.4,44,23.7,96,0
3.7,8.3,27,21.6,280,0
3.7,8.7,28,22.9,59,0
4.4,8.3,30,14,74,0
3.7,8.6,19,12.4,254,0
3.9,6.9,27,13.9,258,0
2.5,6.3,32,14.5,79,0
3.7,8.1,33,25,213,0
4,7.4,27,20.2,239,0
3.8,7.6,32,35,66,0
3.5,7,29,20.8,247,0
3.7,8.3,30,29.6,270,0
4.2,7.8,30,17,50,0
3.7,8.7,16,13.5,68,0
5.9,11.3,27,23.7,95,0
3.9,8,32,30.5,211,0
5.7,12.5,31,21.8,268,0
3.6,7.9,30,21.6,246,0
2.7,6.6,26,24.4,69,0
3.6,7.3,27,18.7,50,0
3.8,7.7,26,34.1,245,0
3.9,7.1,29,14.6,229,0
2.7,6,30,13.8,69,0
3.9,7.7,27,12.1,67,0
2.5,6.1,31,11.8,267,0
2.5,6.3,31,14.6,220,0
2.8,5.9,29,11.2,61,0
3.5,7.6,27,19.9,241,0
4,7.6,17,16.2,224,0
3.5,7.9,26,19,62,0
3.5,7.2,28,23.6,290,0
3.6,7.7,40,20.1,271,0
3.9,7.4,19,17.6,95,0
3.9,7.9,45,17.6,222,0
3.5,7.3,16,20.4,70,0
3.9,7.1,29,15.8,238,0
3,5.1,32,16.3,239,0
3.9,8.7,35,23,232,0
3.8,7.7,24,19.1,67,0
4,8.2,32,15.9,214,0
3.6,7.3,32,17.6,266,0
3.9,8.2,26,13.7,86,0
3.7,7.6,30,22.8,96,0
3.6,7.3,23,22.1,84,0
3.8,6.9,28,17.5,280,0
4,8.6,29,24.3,287,0
3.6,7,20,16.9,276,0
3.5,8.2,27,17.7,63,0
3.7,7.6,28,10.1,279,0
4,7.9,36,18.9,91,0
3.6,7.2,29,15.9,212,0
3.6,8.5,29,12.7,91,0
3.8,7.6,35,21.4,67,0
3.7,8.2,32,17.9,231,0
3.6,7.7,43,12.7,61,0
6,9.8,30,24.9,280,0
3.7,8,20,14.8,55,0
3.8,8.7,31,13.4,293,0
3.6,8.5,35,16.6,294,0
2.6,5.3,27,24.5,81,0
2.8,6.3,29,20,56,0
3.7,7.7,31,21.2,61,0
3.8,8.6,26,22.4,55,0
3.6,8.7,15,17.8,241,0
3.6,8,32,32.9,73,0
3.5,8.4,24,24.4,85,0
3.6,8.5,28,33.6,224,0
2.7,5.5,32,16.7,72,0
3.7,8.6,27,18.4,229,0
3.8,8.3,21,17.7,58,0
3.9,7.1,40,21.8,210,0
3.1,6.6,27,17.1,72,0
3.7,7.6,28,13.1,85,0
3.8,7.6,17,11.2,88,0
4,7.6,30,27.9,84,0
3.5,6.9,31,14.5,79,0
3.4,6.2,32,12.9,228,0
4,8.3,28,18.5,270,0
5.8,7.1,28,10.4,79,0
2.6,5.3,32,24.5,300,0
3.9,8.2,28,22.6,207,0
2.8,6.6,27,24.6,228,0
3,6.7,32,23.1,85,0
3.8,7.6,32,10.6,55,0
4.3,12.1,32,11.5,77,0
5.6,7.9,32,18.6,230,0
2.9,5.4,31,20.6,276,0
3.9,8,29,29.9,289,0
2.6,5.9,26,13.3,253,0
3.2,6.5,31,12,63,0
5.4,12.9,29,21.9,300,0
2.7,5.3,30,11.3,54,0
3.7,7.5,30,17,253,0
5.5,14,31,23.8,70,0
3.7,7.9,42,20.9,63,0
2.8,5.9,27,14.8,202,0
3.4,5.7,30,16.8,253,0
4,8,28,18.9,71,0
3.7,8.1,28,16.7,61,0
3.5,7.5,26,11.1,63,0
3.5,8.5,32,24.3,242,0
3.8,8.2,42,23.2,223,0
3.5,8.2,26,24,235,0
3.2,6.5,32,22.1,81,0
4.7,10.2,28,22.5,87,0
3.3,5.2,32,16.7,220,0
2.9,5.5,27,11.6,298,0
3.9,7.1,29,30.3,293,0
3.6,7.1,24,19.1,300,0
3.9,7.4,30,15.2,96,0
3.1,5,29,23.8,80,0
3.7,8.3,29,18.8,91,0
3.4,6,29,18.3,60,0
2.8,5.8,29,22.5,53,0
3,5.2,30,23.6,222,0
4,8.2,27,32.8,68,0
3.6,7.7,32,32.6,215,0
3.5,8.5,34,16.3,228,0
3.6,8.1,28,31.4,233,0
3.5,7.6,29,14.2,58,0
3.7,7,28,12.5,247,0
42,8.4,28,20.7,98,0
5.7,9.7,29,23.2,288,0
3.9,8,17,18.2,250,0
3.4,5.3,31,17.5,88,0
5.6,8.6,30,14.8,207,0
3.5,7.8,29,12.7,68,0
2.8,6.3,30,23.6,247,0
3.6,7.3,26,23.4,54,0
3.6,7,26,27.8,61,0
3.6,7.7,26,32.3,94,0
3.6,7.9,28,20.3,218,0
3.7,8.6,29,30.6,99,0
5.8,9.3,30,18.4,84,0
3,6.6,29,10.9,261,0
3.9,7.8,36,15.2,79,0
4,7.7,44,10.6,56,0
3.3,5.6,26,15,76,0
4,8.7,26,22.2,68,0
3.8,7.7,27,10,73,0
4,7.4,35,20.7,202,0
3.6,7,27,16.2,226,0
4.5,9.7,31,22,296,0
3.9,7.6,32,26.8,75,0
4,8.2,32,11.3,206,0
3.6,8.2,45,17.8,61,0
3.7,7,28,13.3,73,0
3.7,7.5,34,12.7,270,0
2.8,5.3,28,15.1,74,0
4,8.3,30,34.6,272,0
3.6,8.7,32,13.4,99,0
2.7,5.6,32,15.4,237,0
2.7,5.8,30,12.9,272,0
3.7,7.4,30,11.5,95,0
2.9,6.1,31,12.2,51,0
2.8,6.6,26,12.7,80,0
3.7,8,32,21.3,88,0
3.5,8.7,41,13.9,84,0
3.9,7.4,41,15.1,296,0
3.8,8.1,20,17.2,285,0
5.4,13.6,30,13,250,0
3,6.7,27,20,57,0
3.8,6.8,30,13.3,51,0
3.7,8.5,26,35,203,0
4,7.4,28,29.6,68,0
5,13.4,28,19.6,71,0
3.8,8.5,41,17.9,88,0
4.8,10.5,26,14,70,0
4.5,9.4,32,15.3,84,0
4.4,12.5,31,11.8,267,0
3.7,6.8,15,10.8,50,0
5.9,8,30,20.6,96,0
3.7,8.7,28,13.6,231,0
3.8,8.2,32,22.3,52,0
4,7.5,29,13,292,0
3.9,7.3,27,18.7,294,0
3.7,8.7,29,29.1,52,0
3.6,7,31,20.6,78,0
3.6,8.6,26,28.2,56,0
2.8,6.5,26,11.3,84,0
4,8.3,26,14.8,220,0
3.1,6.3,26,19.1,224,0
3.7,7.9,16,11.3,86,0
4.5,7.5,27,16.2,65,0
3.2,6.5,31,16.9,266,0
3.1,6.3,27,14.7,94,0
5.9,13.3,31,14,57,0
2.6,6,30,15.8,300,0
59,9.5,32,16.7,76,0
3.8,6.9,15,15.8,251,0
3.7,7.4,31,30.8,69,0
4,7,24,12.3,61,0
4.9,9,29,21.2,88,0
3.5,8.5,32,24.3,245,0
3.9,7.3,29,20.2,208,0
3.8,8.5,38,22.1,200,0
4,7,32,10.7,264,0
3.7,8.1,28,16.2,51,0
2.9,6.4,28,19.5,62,0
2.8,5.6,28,24.1,51,0
3.6,8.6,32,20.7,96,0
4,7.3,18,11.9,100,0
4.3,13.6,29,19.6,100,0
2.9,6.2,27,23.5,86,0
3.9,6.8,23,20.6,295,0
4.9,9.5,27,23.9,280,0
5.9,7,28,12.6,218,0
3.2,5.9,30,11.5,92,0
54,12.4,32,22.5,68,0
2.9,6.7,31,16.9,71,0
3.5,6.9,32,22.3,58,0
3.9,8.3,39,10.8,202,0
5.7,9.1,32,24.1,87,0
3.5,8.4,36,14.8,246,0
2.6,6.5,30,17.8,279,0
3.5,7.2,28,28.5,78,0
4.5,9.3,32,22.9,254,0
2.8,6.6,29,23.7,238,0
3.8,7.1,30,23.8,74,0
3.6,8.7,15,18.4,98,0
3.9,7.2,27,28,232,0
3.7,8.7,30,12.2,257,0
4,8,27,10.2,201,0
5.6,10.2,27,20,72,0
3.6,6.9,32,22.6,92,0
3.6,8.2,31,29.2,220,0
3.5,7.7,29,18.7,66,0
2.6,5.7,28,24.8,68,0
5.5,11.5,27,15.7,266,0
4,8.6,18,17.2,69,0
5.7,12.5,32,18,73,0
4,8,23,14.2,55,0
3.8,8.1,32,27.8,237,0
3,6,30,16.1,92,0
3.9,7.8,31,15.8,254,0
3.8,8.2,30,24.7,95,0
4,7.3,31,21,70,0
3.5,7.8,32,34.6,55,0
5.4,14,26,13.8,217,0
3.8,6.9,28,30.9,76,0
3.8,7.9,29,16.2,63,0
3.6,7.6,32,20.2,235,0
4,7.8,27,12.6,299,0
3,6.1,26,18.8,75,0
2.9,5.5,29,19.9,75,0
3.7,8,30,19.9,275,0
5,8.8,31,21.7,202,0
4,6.9,31,15.2,231,0
5,9.9,32,24.2,277,0
3.3,5.7,31,24.5,240,0
4,7.9,29,22.5,55,0
2.5,5.8,27,21.9,219,0
4,8.2,31,31.1,98,0
4,8.2,26,18,226,0
3.8,7.2,37,12,82,0
3.5,7.9,26,29,280,0
3.6,7.9,29,20.7,94,0
3.3,5.9,28,10.2,59,0
3.7,6.8,27,16.5,215,0
3.6,7.1,28,21.9,226,0
3.7,7.3,27,14.8,71,0
3.7,7.5,24,24.8,76,0
3.9,7,31,15.5,99,0
3.5,7.3,32,14.3,281,0
3,5.6,29,12.1,95,0
3.9,8.4,29,22.6,247,0
3.7,8.1,31,14.2,237,0
3.8,7.2,37,13.5,277,0
3.6,7.2,32,18.8,292,0
4.7,7.4,29,23.3,73,0
3.6,6.9,27,19.7,231,0
3.6,7.6,43,21.3,282,0
3.6,8.7,24,17.3,239,0
2.7,6.3,29,20.2,51,0
3.5,7.1,32,12.5,90,0
4,7.5,25,18.1,259,0
3.6,6.8,19,21.8,55,0
5.1,12.3,28,13.4,200,0
5.6,10.7,32,13.3,201,0
3.1,6.5,26,12.6,207,0
3.8,8.7,27,11.3,57,0
3.8,7.4,34,13.4,214,0
3.4,5.3,26,11.4,59,0
5.8,13.2,31,22.6,80,0
3.9,6.9,29,17.4,205,0
3.5,7,29,10.1,224,0
3.5,7.2,36,18.9,263,0
4.4,12.5,26,15,299,0
3.7,7.8,24,21,78,0
2.7,5,32,19.9,263,0
3.8,7.5,20,11.2,241,0
3.6,8.3,26,14.9,75,0
3.9,7.8,18,17.8,66,0
3.9,6.9,22,12.2,69,0
4.3,11.7,28,19.4,87,0
3.9,8.2,28,33.6,248,0
4.3,9.2,32,14.5,94,0
3.3,6.3,28,16.3,90,0
3.7,7.3,27,23.3,292,0
4.2,7.7,28,24.1,280,0
3.7,6.8,31,10.2,262,0
52,10.5,27,17.5,288,0
3.8,7.5,29,20.3,228,0
3.5,7.2,28,23,269,0
4,7.8,42,14,200,0
4,7,26,11.3,97,0
3.7,8.7,18,21.6,288,0
3.6,8.1,18,20.9,67,0
3.5,7.2,45,15,283,0
3.1,6.4,30,14.9,244,0
3.7,7.3,28,23.4,75,0
3.6,8.6,33,16.9,254,0
3.5,7.9,31,22.9,62,0
3.9,8.3,28,19,94,0
3.8,7.5,33,20.2,64,0
3.6,8.6,31,14.9,53,0
3.5,7.4,31,17.2,241,0
3.6,8.6,20,21.7,219,0
2.6,5.9,32,10.2,65,0
3,5.9,28,12.7,274,0
3.9,8,25,23,231,0
3.8,7.4,32,18.8,299,0
2.5,5.1,27,14.4,81,0
3.8,8.2,27,15.3,65,0
3.7,7.1,26,15.5,247,0
3.5,7,32,11.3,264,0
4,7.9,26,33.2,255,0
5.2,9.1,27,21.1,78,0
3.6,7.9,29,16.6,77,0
3.6,8.3,26,22.7,55,0
2.5,5.9,32,10.1,267,0
4.4,13.5,31,20.2,63,0
3.9,6.8,27,14.1,99,0
3.9,7.6,29,21.4,92,0
47,10.1,27,17.8,235,0
2.8,5.8,27,23.8,207,0
3.7,7.7,27,29.4,230,0
3.7,8.7,33,24.7,217,0
3.7,7.3,31,21.7,93,0
3.7,7,29,22.7,57,0
3.5,8.7,28,12,83,0
3.8,7.4,25,23.3,237,0
3.8,8.5,19,13,254,0
3.6,7.6,31,12.7,232,0
4,8.2,26,20,77,0
3.9,8.3,26,21.5,84,0
3.6,8.1,18,13.3,258,0
3.8,7.2,20,12.7,230,0
3.9,8.7,18,19.7,217,0
3.7,8.3,39,13.1,257,0
3.5,8.4,28,22.3,220,0
2.9,6.5,30,16.6,84,0
4.2,12.1,28,15.5,265,0
3.8,8.2,36,24.4,86,0
3.6,7.4,36,19.4,228,0
3.5,6.9,31,28.5,58,0
5.7,7.8,30,13.5,96,0
3.5,7,29,33.3,246,0
3.6,6.9,26,14,56,0
4,8.7,31,25,63,0
4,8,31,11.7,227,0
3.5,7.8,28,14.6,99,0
6,8.5,29,19.7,69,0
3.2,6.6,26,23.7,218,0
4,7.5,21,16.5,97,0
5.6,9.5,27,15.9,299,0
3.5,8.3,31,26.6,260,0
5.4,12.3,31,21.3,86,0
3.8,7.2,27,20.8,267,0
3.7,7.8,38,13,64,0
3.8,7.1,24,21.7,294,0
3.8,8.4,27,19,74,0
3.7,6.9,40,13,88,0
3.9,7.2,32,31.1,298,0
4,7.6,37,10.1,96,0
3.1,5,27,10.6,86,0
3.7,8.1,26,32.2,288,0
3.7,7.9,23,12.9,224,0
3.8,8.4,26,26.7,226,0
3.9,7.6,32,15.6,76,0
3.7,8,42,12.4,60,0
3.3,6.5,32,18.7,239,0
3.8,7.8,15,13.3,228,0
